Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Killer Elite;Gary McKendry;116;Jason Statham;Robert De Niro;Ben Mendelsohn;Action;35000000;57000000;2011
Out of the Furnace;Scott Cooper;116;Christian Bale;Sam Shepard;Dendrie Taylor;Crime;22000000;15000000;2013
Secondhand Lions;Tim McCanlies;111;Haley Joel Osment;Robert Duvall;Emmanuelle Vaugier;Comedy;30000000;45000000;2003
The Infiltrator;Brad Furman;127;Joseph Gilgun;Amy Ryan;Olympia Dukakis;Biography;25000000;21600000;2016
The Skulls;Rob Cohen;106;Paul Walker;Leslie Bibb;William Petersen;Action;15000000;35000000;2000
Freeze Frame;John Simpson;99;Colin Salmon;Lee Evans;Ian McNeice;Crime;2000000;2500000;2004
Garden State;Zach Braff;102;Armando Riesco;Michael Weston;Jill Flint;Comedy;2500000;35000000;2004
Life of Pi;Ang Lee;127;Suraj Sharma;Rafe Spall;Tabu;Adventure;120000000;609000000;2012
Fever Pitch;Bobby Farrelly;104;Jimmy Fallon;KaDee Strickland;Ione Skye;Comedy;30000000;120000000;2005
The Illusionist;Neil Burger;110;Rufus Sewell;Eddie Marsan;Jake Wood;Drama;16000000;87000000;2006
An Education;Lone Scherfig;100;Dominic Cooper;Olivia Williams;Ellie Kendrick;Drama;4500000;26000000;2009
Anything Else;Woody Allen;108;Woody Allen;Stockard Channing;Fisher Stevens;Comedy;18000000;5000000;2003
She's the Man;Andy Fickman;105;Channing Tatum;Alexandra Breckenridge;Laura Ramsey;Comedy;20000000;57000000;2006
The BFG;Steven Spielberg;117;Mark Rylance;Penelope Wilton;Rafe Spall;Adventure;140000000;195000000;2016
Blue Crush;John Stockwell;104;Faizon Love;Mika Boorem;Sanoe Lake;Drama;30000000;51000000;2002
Inherent Vice;Paul Thomas Anderson;148;Martin Dew;Katherine Waterston;Serena Scott Thomas;Comedy;20000000;14700000;2014
Open Road;Marcio Garcia;85;John Savage;Kristi Clainos;Emily Nelson;Action;3000000;1000000;2013
In the Name of the King: The Last Job;Uwe Boll;86;Bashar Rahal;Shelly Varod;Ralitsa Paskaleva;Action;3500000;5000000;2014
Man of the Year;Barry Levinson;115;Robin Williams;Tina Fey;Amy Poehler;Comedy;20000000;41000000;2006
Mission to Mars;Brian De Palma;114;Don Cheadle;Connie Nielsen;Kim Delaney;Sci-Fi;90000000;111000000;2000
From Hell;Albert Hughes;122;Johnny Depp;Jason Flemyng;Ian Richardson;Horror;35000000;74500000;2001
Keanu;Peter Atencio;100;Nia Long;Will Forte;Keegan-Michael Key;Action;15000000;20000000;2016
Perfume: The Story of a Murderer;Tom Tykwer;147;Michael Smiley;David Calder;Simon Chandler;Crime;50000000;100000000;2006
Untraceable;Gregory Hoblit;101;Billy Burke;Jesse Tyler Ferguson;Joseph Cross;Crime;35000000;52000000;2008
Olympus Has Fallen;Antoine Fuqua;119;Gerard Butler;Morgan Freeman;Radha Mitchell;Action;70000000;170000000;2013
Analyze That;Harold Ramis;96;Robert De Niro;Cathy Moriarty;Joe Viterelli;Comedy;60000000;30000000;2002
Bran Nue Dae;Rachel Perkins;88;Deborah Mailman;Magda Szubanski;Jessica Mauboy;Comedy;6500000;7000000;2009
Super Troopers;Jay Chandrasekhar;100;Geoffrey Arend;Daniel von Bargen;Jay Chandrasekhar;Comedy;1200000;23400000;2001
The Emperor's Club;Michael Hoffman;109;Gabriel Millman;Embeth Davidtz;Rob Morrow;Drama;12500000;15000000;2002
The Hunting Party;Richard Shepard;101;James Brolin;Zan Marolt;Ljubomir Kerekes;Adventure;25000000;7200000;2007
Alex Rider: Operation Stormbreaker;Geoffrey Sax;93;Alex Pettyfer;Sophie Okonedo;Ashley Walters;Action;40000000;15000000;2006
Book of Shadows: Blair Witch 2;Joe Berlinger;90;Kim Director;Erica Leerhsen;Kurt Loder;Adventure;15000000;47000000;2000
Highlander: Endgame;Douglas Aarniokoski;101;Christopher Lambert;Adrian Paul;Adam Copeland;Action;15000000;15900000;2000
In the Bedroom;Todd Field;138;Tom Wilkinson;Sissy Spacek;Karen Allen;Crime;1700000;44300000;2001
Pootie Tang;Louis C.K.;81;Wanda Sykes;J.B. Smoove;Robert Vaughn;Action;3000000;3000000;2001
August Rush;Kirsten Sheridan;114;Robin Williams;Aaron Staton;Marian Seldes;Drama;30000000;69200000;2007
Creed;Ryan Coogler;133;Sylvester Stallone;Phylicia Rashad;Graham McTavish;Drama;35000000;173000000;2015
A.I. Artificial Intelligence;Steven Spielberg;146;Haley Joel Osment;William Hurt;Kevin Sussman;Adventure;100000000;236000000;2001
