Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Red Riding Hood;Catherine Hardwicke;100;Gary Oldman;Billy Burke;Virginia Madsen;Horror;42000000;140000000;2011
The Lord of the Rings: The Return of the King;Peter Jackson;192;Orlando Bloom;Billy Boyd;Bernard Hill;Action;94000000;1142000000;2003
The Pacifier;Adam Shankman;95;Vin Diesel;Brad Garrett;Tate Donovan;Action;56000000;198000000;2005
Dumb and Dumberer: When Harry Met Lloyd;Troy Miller;85;Elden Henson;Mimi Rogers;Cheri Oteri;Comedy;19000000;26000000;2003
Jurassic Park III;Joe Johnston;92;Michael Jeter;Trevor Morgan;Alessandro Nivola;Action;93000000;368000000;2001
Q;Laurent Bouhnik;103;Déborah Révy;Johnny Amaro;Yassine Azzouz;Drama;1500000;1000000;2011
The Road;John Hillcoat;111;Viggo Mortensen;Charlize Theron;Robert Duvall;Adventure;25000000;27000000;2009
Frat Party;Robert Bennett;90;Randy Wayne;Lauren C. Mayhew;Alicia Ziegler;Comedy;1000000;2000000;2009
Pollock;Ed Harris;122;John Heard;Bud Cort;Amy Madigan;Biography;6000000;11000000;2000
The Book Thief;Brian Percival;131;Emily Watson;Sophie Nélisse;Roger Allam;Drama;19000000;7700000;2013
The Raid: Redemption;Gareth Evans;102;Iko Uwais;Yayan Ruhian;Donny Alamsyah;Action;1100000;4000000;2011
A Most Wanted Man;Anton Corbijn;122;Philip Seymour Hoffman;Nina Hoss;Homayoun Ershadi;Crime;15000000;36000000;2014
Instructions Not Included;Eugenio Derbez;115;Eugenio Derbez;Jessica Lindsey;Hugo Stiglitz;Comedy;5000000;100000000;2013
Faith Like Potatoes;Regardt van den Bergh;116;Sean Cameron Michael;Frank Rautenbach;Jeanne Neilson;Drama;10000000;3000000;2006
Freddy vs. Jason;Ronny Yu;97;Katharine Isabelle;Jason Ritter;Zack Ward;Action;30000000;116000000;2003
Furious 7;James Wan;140;Jason Statham;Paul Walker;Vin Diesel;Action;190000000;540000000;2015
Bait;Kimble Rendall;93;Alex Russell;Cariba Heine;Richard Brancatisano;Action;30000000;10800000;2012
Righteous Kill;Jon Avnet;101;Robert De Niro;Al Pacino;50 Cent;Action;60000000;30000000;2008
Amour;Michael Haneke;127;Isabelle Huppert;Emmanuelle Riva;Jean-Louis Trintignant;Drama;8900000;20000000;2012
Hot Pursuit;Anne Fletcher;87;Jim Gaffigan;Richard T. Jones;Michael Mosley;Action;35000000;51000000;2015
Tae Guk Gi: The Brotherhood of War;Je-kyu Kang;148;Min-sik Choi;Bin Won;Dong-gun Jang;Action;12800000;69000000;2004
Think Like a Man Too;Tim Story;106;Romany Malco;Regina Hall;David Walton;Comedy;24000000;7000000;2014
Unleashed;Louis Leterrier;103;Morgan Freeman;Jet Li;Bob Hoskins;Action;45000000;101000000;2005
The Holy Girl;Lucrecia Martel;106;Mía Maestro;Mercedes Morán;María Alche;Drama;1400000;5000000;2004
Almost Famous;Cameron Crowe;152;Philip Seymour Hoffman;Zooey Deschanel;Michael Angarano;Adventure;60000000;350000;2000
The Tree of Life;Terrence Malick;139;Brad Pitt;Tye Sheridan;Fiona Shaw;Drama;32000000;54000000;2011
Behind Enemy Lines;John Moore;106;Joaquim de Almeida;David Keith;Sam Jaeger;Action;40000000;91000000;2001
Darkness;Jaume Balagueró;103;Lena Olin;Giancarlo Giannini;Anna Paquin;Horror;10600000;22400000;2002
The Claim;Michael Winterbottom;115;Milla Jovovich;Sarah Polley;Shirley Henderson;Drama;20000000;6000000;2000
Against the Ropes;Charles S. Dutton;110;Omar Epps;Charles S. Dutton;Tim Daly;Biography;39000000;7000000;2004
Jane Got a Gun;Gavin O'Connor;98;Natalie Portman;Noah Emmerich;Boyd Holbrook;Action;25000000;3000000;2016
Nacho Libre;Jared Hess;92;Ana de la Reguera;Moises Arias;Héctor Jiménez;Comedy;32000000;99000000;2006
The Chronicles of Narnia: The Lion the Witch and the Wardrobe;Andrew Adamson;150;Jim Broadbent;Kiran Shah;Shane Rangi;Adventure;180000000;745000000;2005
Hulk;Ang Lee;138;Kevin Rankin;Regi Davis;Celia Weston;Sci-Fi;137000000;245000000;2003
August: Osage County;John Wells;121;Benedict Cumberbatch;Meryl Streep;Julia Roberts;Drama;25000000;74500000;2013
Song One;Kate Barker-Froyland;86;Anne Hathaway;Shawn Parsons;Li Jun Li;Drama;6000000;320000;2014
The One;James Wong;85;Jason Statham;Jet Li;Delroy Lindo;Sci-Fi;49000000;72800000;2001
The Impossible;J.A. Bayona;114;Naomi Watts;Geraldine Chaplin;Oaklee Pendergast;Thriller;45000000;198000000;2012
About Last Night;Steve Pink;100;Joe Lo Truglio;Regina Hall;Bryan Callen;Comedy;12500000;49000000;2014
Ponyo;Hayao Miyazaki;101;Rumi Hiiragi;YÃ»ki Amami;Yuria Nara;Animation;34000000;204000000;2008
Teenage Mutant Ninja Turtles;Jonathan Liebesman;101;Noel Fisher;Danny Woodburn;Jeremy Howard;Action;125000000;245000000;2014
Doubt;John Patrick Shanley;104;Philip Seymour Hoffman;Meryl Streep;Carrie Preston;Drama;20000000;51000000;2008
The Curse of the Jade Scorpion;Woody Allen;103;Woody Allen;Elizabeth Berkley;Peter Gerety;Comedy;26000000;5500000;2001
Ali;Michael Mann;165;Will Smith;Jada Pinkett Smith;Joe Morton;Biography;107000000;87700000;2001
Cadillac Records;Darnell Martin;109;Cedric the Entertainer;Veronika Dash;Tammy Blanchard;Biography;12000000;8600000;2008
City by the Sea;Michael Caton-Jones;108;Robert De Niro;James Franco;John Doman;Crime;60000000;29000000;2002
The Women;Diane English;114;Jada Pinkett Smith;Debi Mazar;Debra Messing;Comedy;16500000;50000000;2008
DysFunktional Family;George Gallo;89;Eddie Griffin;Joe Howard;Robert Noble;Comedy;3000000;6400000;2003
Defendor;Peter Stebbings;95;Michael Kelly;Tony Nappo;Charlotte Sullivan;Comedy;3500000;45000000;2009
Gangster's Paradise: Jerusalema;Ralph Ziman;119;Rapulana Seiphemo;Kenneth Nkosi;Robert Hobbs;Action;2000000;3000000;2008
Knowing;Alex Proyas;121;Nicolas Cage;Ben Mendelsohn;Chandler Canterbury;Drama;50000000;186000000;2009
Ramona and Beezus;Elizabeth Allen Rosenbaum;103;Sierra McCormick;Hutch Dano;Jason Spevack;Adventure;15000000;27000000;2010
Stolen Summer;Pete Jones;91;Brian Dennehy;Aidan Quinn;Bonnie Hunt;Drama;1500000;1400000;2002
Crank;Mark Neveldine;93;Jason Statham;Edi Gathegi;Jose Pablo Cantillo;Action;12000000;42000000;2006
Must Love Dogs;Gary David Goldberg;98;Stockard Channing;Victor Webster;Elizabeth Perkins;Comedy;30000000;52000000;2005
Mystic River;Clint Eastwood;138;John Doman;Spencer Treat Clark;Tom Guiry;Crime;25000000;157000000;2003
Bridge to Terabithia;Gabor Csupo;96;Josh Hutcherson;Zooey Deschanel;Bailee Madison;Adventure;17000000;138000000;2007
This Means War;McG;103;Tom Hardy;Abigail Spencer;Warren Christie;Action;65000000;52000000;2012
Fright Night;Craig Gillespie;106;Grace Phipps;Reid Ewing;Sandra Vergara;Comedy;30000000;41000000;2011
Pirates of the Caribbean: At World's End;Gore Verbinski;169;Johnny Depp;Orlando Bloom;Jack Davenport;Action;300000000;963000000;2007
Swept Away;Guy Ritchie;89;Bruce Greenwood;Jeanne Tripplehorn;David Thornton;Comedy;10000000;1000000;2002
The City of Your Final Destination;James Ivory;117;Alexandra Maria Lara;Omar Metwally;Diego Velazquez;Drama;8300000;1840000;2009
The Perfect Match;Bille Woodruff;96;Donald Faison;Brandy Norwood;Lauren London;Comedy;5000000;10000000;2016
The Pianist;Roman Polanski;150;Emilia Fox;Frank Finlay;Ed Stoppard;Biography;35000000;120000000;2002
The Sum of All Fears;Phil Alden Robinson;124;Morgan Freeman;Bruce McGill;Philip Baker Hall;Action;68000000;195000000;2002
The Village;M. Night Shyamalan;108;Bryce Dallas Howard;Judy Greer;William Hurt;Drama;60000000;257000000;2004
Dinosaur;Eric Leighton;82;Alfre Woodard;D.B. Sweeney;Della Reese;Animation;127500000;350000000;2000
Romeo Must Die;Andrzej Bartkowiak;115;Jet Li;Delroy Lindo;Aaliyah;Action;25000000;91000000;2000
Warrior;Gavin O'Connor;140;Tom Hardy;Frank Grillo;Kevin Dunn;Drama;25000000;23000000;2011
Exodus: Gods and Kings;Ridley Scott;150;Christian Bale;María Valverde;Ben Mendelsohn;Action;140000000;268000000;2014
Fair Game;Doug Liman;108;Naomi Watts;Ty Burrell;Brooke Smith;Biography;22000000;24800000;2010
Quartet;Dustin Hoffman;98;Luke Newberry;Sheridan Smith;Pauline Collins;Comedy;11000000;60000000;2012
Serendipity;Peter Chelsom;82;Lilli Lavine;David Sparrow;Ann Talman;Comedy;28000000;77000000;2001
Battleship;Peter Berg;131;Liam Neeson;Alexander Skarsgård;Tadanobu Asano;Action;209000000;303000000;2012
Peaceful Warrior;Victor Salva;120;Scott Mechlowicz;Tim DeKay;Agnes Bruckner;Drama;10000000;5000000;2006
The Imitation Game;Morten Tyldum;114;Benedict Cumberbatch;Rory Kinnear;Allen Leech;Biography;14000000;230000000;2014
Black Book;Paul Verhoeven;145;Michiel Huisman;Sebastian Koch;Christian Berkel;Thriller;21000000;27000000;2006
Letters to Juliet;Gary Winick;105;Vanessa Redgrave;Marcia DeBonis;Luisa Ranieri;Comedy;30000000;80500000;2010
Welcome to Collinwood;Anthony Russo;86;Michael Jeter;Isaiah Washington;Andy Davoli;Comedy;12000000;4600000;2002
Shadow of the Vampire;E. Elias Merhige;92;Eddie Izzard;Udo Kier;Catherine McCormack;Thriller;8000000;11000000;2000
Danny Collins;Dan Fogelman;106;Al Pacino;Jennifer Garner;Melissa Benoist;Comedy;10000000;6000000;2015
I Love You Phillip Morris;Glenn Ficarra;102;Dameon Clarke;Louis Herthum;Annie Golden;Biography;13000000;20000000;2009
Black Mass;Scott Cooper;123;Johnny Depp;Benedict Cumberbatch;Adam Scott;Biography;53000000;99300000;2015
The Chronicles of Narnia: The Voyage of the Dawn Treader;Michael Apted;113;Bruce Spence;Shane Rangi;Laura Brent;Adventure;155000000;416000000;2010
Wristcutters: A Love Story;Goran Dukic;88;Leslie Bibb;Patrick Fugit;Chase Ellison;Comedy;1000000;454000;2006
Elysium;Neill Blomkamp;109;Matt Damon;Sharlto Copley;Alice Braga;Action;115000000;286000000;2013
Grown Ups;Dennis Dugan;102;Steve Buscemi;Adam Sandler;Salma Hayek;Comedy;80000000;271000000;2010
We're the Millers;Rawson Marshall Thurber;118;Laura-Leigh;Molly C. Quinn;Thomas Lennon;Comedy;37000000;270000000;2013
The Departed;Martin Scorsese;151;Leonardo DiCaprio;Matt Damon;Ray Winstone;Crime;90000000;291000000;2006
The Guilt Trip;Anne Fletcher;95;Miriam Margolyes;Tom Virtue;Julene Renee;Comedy;40000000;56000000;2012
Ta Ra Rum Pum;Siddharth Anand;153;Saif Ali Khan;Mary Goggin;Vic Aviles;Comedy;6000000;20000000;2007
The Young Victoria;Jean-Marc Vallée;100;Michiel Huisman;Jim Broadbent;Thomas Kretschmann;Biography;35000000;32000000;2009
Elizabethtown;Cameron Crowe;123;Orlando Bloom;Kirsten Dunst;Judy Greer;Comedy;57000000;74200000;2005
MacGruber;Jorma Taccone;95;Jasper Cole;Will Forte;Powers Boothe;Action;10000000;9400000;2010
Scott Pilgrim vs. the World;Edgar Wright;112;Anna Kendrick;Kieran Culkin;Ellen Wong;Action;60000000;48000000;2010
Fahrenheit 9/11;Michael Moore;122;Osama bin Laden;Stevie Wonder;Ricky Martin;Documentary;6000000;220000000;2004
Goal! The Dream Begins;Danny Cannon;118;Sean Pertwee;Kuno Becker;Stephen Dillane;Drama;10000000;27000000;2005
Insomnia;Christopher Nolan;118;Al Pacino;Maura Tierney;Crystal Lowe;Drama;46000000;113000000;2002
Jason Bourne;Paul Greengrass;123;Matt Damon;Riz Ahmed;Ato Essandoh;Action;120000000;415000000;2016
21 Grams;Alejandro G. Iñárritu;124;Naomi Watts;Eddie Marsan;Danny Huston;Drama;20000000;19500000;2003
Growing Up Smith;Frank Lotito;102;Brighton Sharbino;Jake Busey;Tim Guinee;Comedy;2000000;5000000;2015
Rollerball;John McTiernan;98;LL Cool J;Chris Klein;Andrew Bryniarski;Sci-Fi;70000000;25000000;2002
Beowulf;Robert Zemeckis;115;Robin Wright;Anthony Hopkins;Sebastian Roché;Action;150000000;196000000;2007
For Greater Glory: The True Story of Cristiada;Dean Wright;145;Santiago Cabrera;Eduardo Verástegui;Catalina Sandino Moreno;Drama;10818775;10000000;2012
Little Fockers;Paul Weitz;98;Robert De Niro;Blythe Danner;Teri Polo;Comedy;100000000;310000000;2010
Sinister 2;Ciarán Foy;97;Laila Haley;James Ransone;Jaden Klein;Horror;10000000;27000000;2015
Vertical Limit;Martin Campbell;124;Nicholas Lea;Scott Glenn;Ben Mendelsohn;Action;75000000;215000000;2000
Cats & Dogs: The Revenge of Kitty Galore;Brad Peyton;82;Jack McBrayer;Sean Hayes;Katt Williams;Action;85000000;112000000;2010
North Country;Niki Caro;126;Jeremy Renner;Charlize Theron;Sissy Spacek;Drama;35000000;17000000;2005
An American Carol;David Zucker;83;Chriss Anglin;Geoffrey Arend;Gary Coleman;Comedy;12000000;7000000;2008
Dragon Blade;Daniel Lee;103;Si Won Choi;Peng Lin;Sung-jun Yoo;Action;65000000;128000000;2015
Hot Fuzz;Edgar Wright;121;Bill Bailey;Joe Cornish;Billie Whitelaw;Action;8000000;80000000;2007
Monkeybone;Henry Selick;93;Brendan Fraser;Bridget Fonda;Megan Mullally;Animation;75000000;8000000;2001
Monsters University;Dan Scanlon;104;Steve Buscemi;Tyler Labine;Sean Hayes;Animation;200000000;743000000;2013
The Darkest Hour;Chris Gorak;89;Max Minghella;Veronika Vernadskaya;Dato Bakhtadze;Action;30000000;31000000;2011
Ira & Abby;Robert Cary;101;Frances Conroy;Fred Willard;Kevin Sussman;Comedy;3500000;36000000;2006
Les Misérables;Tom Hooper;158;Hugh Jackman;Eddie Redmayne;Anne Hathaway;Drama;61000000;441000000;2012
Little Children;Todd Field;137;Kate Winslet;Noah Emmerich;Jane Adams;Drama;26000000;14500000;2006
The 5th Wave;J Blakeson;112;Chloë Grace Moretz;Maggie Siff;Nick Robinson;Action;38000000;108000000;2016
[Rec] 2;Jaume Balagueró;85;Jonathan D. Mellor;Pablo Rosso;Andrea Ros;Horror;5600000;18700000;2009
A Single Man;Tom Ford;99;Colin Firth;Teddy Sears;Keri Lynn Pratt;Drama;7000000;25100000;2009
Child 44;Daniel Espinosa;137;Tom Hardy;Fares Fares;Michael Nardone;Crime;50000000;13900000;2015
Fat Albert;Joel Zwick;93;Dania Ramirez;Nick Zano;Alice Greczyn;Comedy;26000000;48000000;2004
A Haunted House;Michael Tiddes;86;Essence Atkins;Alanna Ubach;J.B. Smoove;Comedy;2500000;60000000;2013
Gods and Generals;Ron Maxwell;280;Billy Campbell;Bruce Boxleitner;John Castle;Drama;56000000;12900000;2003
The Break-Up;Peyton Reed;106;Jon Favreau;John Michael Higgins;Ann-Margret;Comedy;52000000;204000000;2006
You Again;Andy Fickman;105;Jamie Lee Curtis;James Wolk;Christine Lakin;Comedy;20000000;32000000;2010
Mr. Deeds;Steven Brill;96;Steve Buscemi;Adam Sandler;Peter Gallagher;Comedy;50000000;171000000;2002
Rush Hour 2;Brett Ratner;90;Mei Melançon;John Lone;Harris Yulin;Action;90000000;347000000;2001
21;Robert Luketic;123;Kevin Spacey;Jim Sturgess;Josh Gad;Crime;35000000;81000000;2008
Factory Girl;George Hickenlooper;99;Hayden Christensen;Jimmy Fallon;Beth Grant;Biography;7000000;1700000;2006
The Protector;Prachya Pinkaew;111;Jon Foo;Nathan Jones;Johnny Nguyen;Action;200000000;39300000;2005
Despicable Me 2;Pierre Coffin;98;Steve Carell;Miranda Cosgrove;Steve Coogan;Animation;76000000;970000000;2013
Live Free or Die Hard;Len Wiseman;129;Bruce Willis;Jonathan Sadowski;Cyril Raffaelli;Action;110000000;388000000;2007
Sublime;Tony Krantz;113;George Newbern;Tom Cavanagh;Cas Anvar;Horror;1800000;1000000;2007
The Invasion;Oliver Hirschbiegel;99;Roger Rees;Veronica Cartwright;Jeremy Northam;Sci-Fi;80000000;158000000;2007
Vampires Suck;Jason Friedberg;82;Diedrich Bader;Dave Foley;Anneliese van der Pol;Comedy;20000000;81600000;2010
Birthday Girl;Jez Butterworth;93;Mark Gatiss;Mathieu Kassovitz;Ben Chaplin;Comedy;13000000;11000000;2001
Hop;Tim Hill;95;Gary Cole;Elizabeth Perkins;Chelsea Handler;Animation;63000000;108000000;2011
L'auberge espagnole;Cédric Klapisch;111;Romain Duris;Cécile De France;Iddo Goldberg;Comedy;5300000;30000000;2002
War Inc.;Joshua Seftel;107;Bashar Rahal;Sergej Trifunovic;Ned Bellamy;Action;10000000;1870000;2008
United 93;Paul Greengrass;111;Christian Clemenson;David Alan Basche;Susan Blommaert;Drama;15000000;77000000;2006
Valley of the Wolves: Iraq;Serdar Akar;122;Necati Sasmaz;Bergüzar Korel;Ghassan Massoud;Action;8300000;1000000;2006
Lucky Number Slevin;Paul McGuigan;110;Bruce Willis;Morgan Freeman;Dorian Missick;Crime;27000000;56000000;2006
Sydney White;Joe Nussbaum;108;Danny Strong;Matt Long;Samm Levine;Comedy;16500000;13200000;2007
The Virginity Hit;Huck Botko;86;Matt Bennett;Krysta Rodriguez;Zack Pearlman;Comedy;3400000;2000000;2010
Return to Me;Bonnie Hunt;115;Minnie Driver;Jim Belushi;Bonnie Hunt;Comedy;24000000;36000000;2000
Slither;James Gunn;95;Dustin Milligan;Gregg Henry;Tania Saulnier;Comedy;15500000;12800000;2006
The Grace Card;David G. Evans;101;Michael Joiner;Chris Thomas;Michael Higgenbottom;Drama;200000;2700000;2010
The Last Station;Michael Hoffman;112;David Masterson;Kerry Condon;Anne-Marie Duff;Biography;13000000;6000000;2009
Warcraft;Duncan Jones;123;Dominic Cooper;Callum Rennie;Ruth Negga;Action;160000000;439000000;2016
Everybody's Fine;Kirk Jones;99;Robert De Niro;James Frain;Brendan Sexton III;Adventure;21000000;16000000;2009
I Robot;Alex Proyas;115;Will Smith;Bruce Greenwood;Chi McBride;Action;120000000;347000000;2004
Paycheck;John Woo;119;Ivana Milicevic;Joe Morton;Callum Rennie;Action;60000000;58000000;2003
Whiteout;Dominic Sena;101;Tom Skerritt;Bashar Rahal;Shawn Doyle;Action;35000000;19000000;2009
McFarland USA;Niki Caro;129;Morgan Saylor;Valente Rodriguez;Diana Maria Riva;Biography;17000000;47000000;2015
The Ladykillers;Ethan Coen;104;J.K. Simmons;Tom Hanks;Stephen Root;Comedy;35000000;76000000;2004
Confessions of a Teenage Drama Queen;Sara Sugarman;89;Adam Garcia;Carol Kane;Glenne Headly;Comedy;15000000;29000000;2004
Urban Legends: Final Cut;John Ottman;97;Loretta Devine;Joey Lawrence;Jacinda Barrett;Horror;14000000;38000000;2000
Atlas Shrugged: Who Is John Galt?;James Manera;99;Joaquim de Almeida;Greg Germann;Kristoffer Polaha;Drama;5000000;851000;2014
Selma;Ava DuVernay;128;David Oyelowo;Tom Wilkinson;Oprah Winfrey;Biography;20000000;66000000;2014
The Grudge;Takashi Shimizu;98;Sarah Michelle Gellar;Clea DuVall;Ted Raimi;Horror;10000000;187000000;2004
Nowhere in Africa;Caroline Link;141;Merab Ninidze;Juliane Köhler;Matthias Habich;Biography;7000000;7800000;2001
How to Train Your Dragon 2;Dean DeBlois;102;Gerard Butler;Djimon Hounsou;America Ferrera;Action;145000000;621000000;2014
28 Days Later...;Danny Boyle;113;Noah Huntley;Megan Burns;David Schneider;Thriller;8000000;82500000;2002
Bang Bang Baby;Jeffrey St. Jules;90;Boyd Banks;Chloe Rose;Kristian Bruun;Drama;1000000;100000;2014
Last Holiday;Wayne Wang;112;LL Cool J;Alicia Witt;Timothy Hutton;Adventure;45000000;70000000;2006
The Prince;Brian A Miller;93;Bruce Willis;50 Cent;Jessica Lowndes;Action;18000000;19000000;2014
Billy Elliot;Stephen Daldry;110;Julie Walters;Gary Lewis;Jamie Draven;Drama;5000000;109000000;2000
Me Before You;Thea Sharrock;110;Sam Claflin;Emilia Clarke;Brendan Coyle;Drama;20000000;208000000;2016
Stolen;Simon West;96;Nicolas Cage;Mark Valley;Sami Gayle;Action;35000000;7000000;2012
Alex Cross;Rob Cohen;101;Cicely Tyson;Chad Lindberg;Carmen Ejogo;Action;35000000;30000000;2012
Moonrise Kingdom;Wes Anderson;94;Bruce Willis;Bill Murray;Bob Balaban;Adventure;16000000;68000000;2012
The Joneses;Derrick Borte;96;Demi Moore;Gary Cole;Robert Pralgo;Comedy;5000000;7000000;2009
The Original Kings of Comedy;Spike Lee;115;Bernie Mac;Cedric the Entertainer;Steve Harvey;Comedy;3000000;38000000;2000
Christmas with the Kranks;Joe Roth;99;Jamie Lee Curtis;Cheech Marin;Jake Busey;Comedy;60000000;147000000;2004
Green Lantern;Martin Campbell;123;Ryan Reynolds;Temuera Morrison;Taika Waititi;Action;200000000;1140000000;2011
Harsh Times;David Ayer;116;J.K. Simmons;Christian Bale;Noel Gugliemi;Action;2000000;6000000;2005
Mad Max: Fury Road;George Miller;120;Tom Hardy;Charlize Theron;Zoë Kravitz;Action;150000000;378000000;2015
Resident Evil: Extinction;Russell Mulcahy;94;Milla Jovovich;Mike Epps;James Tumminia;Action;45000000;147000000;2007
The Lake House;Alejandro Agresti;99;Keanu Reeves;Dylan Walsh;Ebon Moss-Bachrach;Drama;40000000;115000000;2006
Midnight Special;Jeff Nichols;112;Kirsten Dunst;Sam Shepard;Paul Sparks;Adventure;18000000;7000000;2016
The Neon Demon;Nicolas Winding Refn;118;Keanu Reeves;Bella Heathcote;Charles Baker;Horror;7000000;4000000;2016
The New World;Terrence Malick;150;Christian Bale;Michael Greyeyes;Wes Studi;Biography;30000000;30000000;2005
Joe Somebody;John Pasquin;98;Jim Belushi;Ken Marino;Kelly Lynch;Comedy;38000000;22000000;2001
Little Miss Sunshine;Jonathan Dayton;101;Steve Carell;Steven Christopher Parker;Jill Talley;Comedy;8000000;101000000;2006
Alice in Wonderland;Tim Burton;108;Johnny Depp;Alan Rickman;Anne Hathaway;Adventure;200000000;334000000;2010
The Warlords;Peter Ho-Sun Chan;113;Jet Li;Takeshi Kaneshiro;Andy Lau;Action;40000000;42000000;2007
The Bridge of San Luis Rey;Mary McGuckian;120;Robert De Niro;F. Murray Abraham;Geraldine Chaplin;Drama;24000000;12000000;2004
Gerry;Gus Van Sant;103;Matt Damon;Casey Affleck;;Adventure;3500000;254000;2002
Kung Fu Panda;Mark Osborne;92;Angelina Jolie;Wayne Knight;Dan Fogler;Action;130000000;632000000;2008
Robot & Frank;Jake Schreier;89;Frank Langella;Joshua Ormond;Ana Gasteyer;Comedy;2500000;3000000;2012
Underworld: Rise of the Lycans;Patrick Tatopoulos;92;Craig Parker;Kevin Grevioux;Steven Mackintosh;Action;35000000;91000000;2009
W.;Oliver Stone;129;Toby Jones;Scott Glenn;Bruce McGill;Biography;25100000;29000000;2008
Good Luck Chuck;Mark Helfrich;101;Dane Cook;Dan Fogler;Chelan Simmons;Comedy;25000000;35000000;2007
Proof of Life;Taylor Hackford;135;Pamela Reed;Alun Armstrong;Michael Kitchen;Action;65000000;119000000;2000
Puss in Boots;Chris Miller;90;Salma Hayek;Constance Marie;Amy Sedaris;Action;130000000;555000000;2011
Deliver Us from Evil;Scott Derrickson;118;Olivia Munn;Dorian Missick;Edgar Ramírez;Horror;30000000;87000000;2014
Fifty Dead Men Walking;Kari Skogland;117;Jim Sturgess;Kevin Zegers;Michael McElhatton;Thriller;6000000;1600000;2008
Pandorum;Christian Alvart;108;Norman Reedus;Dennis Quaid;Eddie Rouse;Action;33000000;20000000;2009
Planet 51;Jorge Blanco;91;Dwayne Johnson;Gary Oldman;James Corden;Animation;70000000;72000000;2009
Reindeer Games;John Frankenheimer;124;Charlize Theron;James Frain;Clarence Williams III;Action;34000000;31000000;2000
The Country Bears;Peter Hastings;88;Haley Joel Osment;Alex Rocco;Stephen Root;Comedy;35000000;16000000;2002
The Next Three Days;Paul Haggis;133;Olivia Wilde;Daniel Stern;Aisha Hinds;Crime;35000000;20000000;2010
White House Down;Roland Emmerich;131;Channing Tatum;Jake Weber;Matt Craven;Action;150000000;205000000;2013
Apocalypto;Mel Gibson;139;Rudy Youngblood;Dalia Hernández;Jonathan Brewer;Action;40000000;120000000;2006
Eragon;Stefen Fangmeier;104;Djimon Hounsou;Ed Speleers;Gary Lewis;Action;100000000;249000000;2006
Of Gods and Men;Xavier Beauvois;122;Lambert Wilson;Michael Lonsdale;Olivier Rabourdin;Drama;4000000;42000000;2010
The Mist;Frank Darabont;126;Toby Jones;Alexa Davalos;Jeffrey DeMunn;Horror;18000000;57000000;2007
The Rookie;John Lee Hancock;127;Dennis Quaid;Jay Hernandez;Angus T. Jones;Drama;20000000;76000000;2002
Crouching Tiger Hidden Dragon;Ang Lee;120;Chen Chang;Pei-Pei Cheng;Sihung Lung;Action;15000000;213000000;2000
Dracula Untold;Gary Shore;92;Dominic Cooper;Sarah Gadon;Zach McGowan;Action;70000000;217000000;2014
Remember Me;Allen Coulter;113;Robert Pattinson;Lena Olin;Ruby Jerins;Drama;16000000;18000000;2010
The Order;Brian Helgeland;102;Heath Ledger;Mark Addy;Benno Fürmann;Action;38000000;19500000;2003
X-Men Origins: Wolverine;Gavin Hood;119;Hugh Jackman;Ryan Reynolds;Dominic Monaghan;Action;150000000;373000000;2009
Click;Frank Coraci;107;Adam Sandler;Cameron Monaghan;Julie Kavner;Comedy;70000000;237000000;2006
No Good Deed;Sam Miller;84;Leslie Bibb;Kate del Castillo;Henry Simmons;Crime;13200000;5000000;2014
Risen;Kevin Reynolds;107;Peter Firth;Jan Cornet;María Botto;Action;20000000;119000000;2016
Tristram Shandy: A Cock and Bull Story;Michael Winterbottom;94;Steve Coogan;Shirley Henderson;Dylan Moran;Comedy;2800000;2000000;2005
Nightcrawler;Dan Gilroy;117;Jake Gyllenhaal;Michael Papajohn;James Huang;Crime;8500000;51000000;2014
Surrogates;Jonathan Mostow;89;Bruce Willis;Devin Ratray;Boris Kodjoe;Sci-Fi;80000000;122000000;2009
The Astronaut Farmer;Michael Polish;104;J.K. Simmons;Virginia Madsen;Bruce Dern;Adventure;13000000;11000000;2006
The Four Feathers;Shekhar Kapur;125;Djimon Hounsou;Lucy Gordon;Alex Jennings;Adventure;35000000;29000000;2002
3:10 to Yuma;James Mangold;122;Christian Bale;Logan Lerman;Gretchen Mol;Crime;55000000;71000000;2007
Burlesque;Steve Antin;119;Eric Dane;Peter Gallagher;David Walton;Drama;55000000;89700000;2010
In Time;Andrew Niccol;109;Matt Bomer;Olivia Wilde;Justin Timberlake;Sci-Fi;40000000;112000000;2011
Ip Man 3;Wilson Yip;105;Mike Tyson;Lynn Hung;Kwok-Kwan Chan;Action;36000000;72000000;2015
Loving Annabelle;Katherine Brooks;76;Ilene Graff;Kevin McCarthy;Laura Breckenridge;Drama;1000000;400000;2006
Margaret;Kenneth Lonergan;186;Matt Damon;Kieran Culkin;John Gallagher Jr.;Drama;14000000;5000000;2011
Obitaemyy ostrov;Fedor Bondarchuk;115;Yuliya Snigir;Fedor Bondarchuk;Aleksey Serebryakov;Action;29500000;26000000;2009
The House of the Devil;Ti West;95;Lena Dunham;Greta Gerwig;Dee Wallace;Horror;900000;1000000;2009
Y Tu Mamá También;Alfonso Cuarón;106;Maribel Verdú;Daniel Giménez Cacho;María Aura;Adventure;2000000;16000000;2001
Dodgeball: A True Underdog Story;Rawson Marshall Thurber;92;Gary Cole;Stephen Root;Joel David Moore;Comedy;20000000;168000000;2004
